trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2715,False,"{'a': 0.002, 'e': 0.004383095802668776}",25,7,26.239483415271206,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2716,False,"{'a': 0.002, 'e': 0.004374338371413834}",20,9,19.875598994832224,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2717,False,"{'a': 0.002, 'e': 0.0043655984375182135}",25,13,17.29825864401252,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2718,False,"{'a': 0.002, 'e': 0.004356875966022165}",25,14,21.783658652463778,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2719,False,"{'a': 0.002, 'e': 0.004348170922035789}",25,17,13.091321912421932,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2720,False,"{'a': 0.002, 'e': 0.004339483270738895}",25,11,22.89601718634854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2721,False,"{'a': 0.002, 'e': 0.004330812977380874}",20,8,22.912609088396874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2722,False,"{'a': 0.002, 'e': 0.004322160007280537}",35,15,39.28927704120821,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2723,False,"{'a': 0.002, 'e': 0.004313524325825991}",20,9,17.444185126376933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2724,False,"{'a': 0.002, 'e': 0.0043049058984744966}",25,5,34.21419005005174,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2725,False,"{'a': 0.002, 'e': 0.00429630469075234}",25,15,16.761203602557696,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2726,False,"{'a': 0.002, 'e': 0.004287720668254675}",30,0,38.764249537308054,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2727,False,"{'a': 0.002, 'e': 0.004279153796645399}",25,15,18.790808785438923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2728,False,"{'a': 0.002, 'e': 0.004270604041657012}",20,11,13.210944227511149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2729,False,"{'a': 0.002, 'e': 0.004262071369090489}",30,18,24.420037010015232,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2730,False,"{'a': 0.002, 'e': 0.004253555744815125}",25,10,29.951492583449323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2731,False,"{'a': 0.002, 'e': 0.0042450571347684134}",20,13,11.717654920824796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2732,False,"{'a': 0.002, 'e': 0.004236575504955896}",20,16,9.813771031931612,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2733,False,"{'a': 0.002, 'e': 0.004228110821451051}",25,8,31.311149289143714,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2734,False,"{'a': 0.002, 'e': 0.004219663050395129}",20,2,28.643208974852385,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2735,False,"{'a': 0.002, 'e': 0.004211232157997035}",25,11,25.733928482589796,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2736,False,"{'a': 0.002, 'e': 0.004202818110533184}",25,14,19.822447575007683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2737,False,"{'a': 0.002, 'e': 0.0041944208743473835}",25,15,19.161487491129886,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2738,False,"{'a': 0.002, 'e': 0.004186040415850672}",25,18,10.947897076685994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2739,False,"{'a': 0.002, 'e': 0.004177676701521206}",30,9,36.61736534958395,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2740,False,"{'a': 0.002, 'e': 0.0041693296979041115}",30,17,23.082557437762773,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2741,False,"{'a': 0.002, 'e': 0.004160999371611372}",25,15,21.57695533426486,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2742,False,"{'a': 0.002, 'e': 0.004152685689321667}",25,11,26.52916081033225,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
